"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.287208334E-3,1.209484863E0,6.828200684E0,6.154152374E0
1.230020833E-2,1.454225922E0,6.980883179E0,6.284680939E0
2.231420833E-2,1.697021027E0,7.064259796E0,6.392905884E0
3.232720833E-2,1.587299194E0,7.020401001E0,6.440806274E0
4.234020833E-2,1.361718292E0,6.922654266E0,6.551126862E0
5.235420833E-2,1.229243774E0,6.853947144E0,6.707102509E0
6.236720833E-2,1.143771515E0,6.800059204E0,6.738836517E0
7.238020833E-2,1.000070343E0,6.751260681E0,6.614744568E0
8.239420833E-2,9.357041931E-1,6.754254456E0,6.455924835E0
9.240720833E-2,1.065783691E0,6.778803406E0,6.238576813E0
1.024202083E-1,1.120120697E0,6.840475159E0,6.016887817E0
1.124342083E-1,1.458866272E0,6.957382050E0,6.271658020E0
1.224472083E-1,1.678010559E0,6.967261505E0,6.535708923E0
1.324602083E-1,1.498234406E0,6.895859985E0,6.796915741E0
1.424742083E-1,1.246158600E0,6.702611847E0,6.997798004E0
1.524872083E-1,1.056053925E0,6.556665344E0,7.164401550E0
1.625002083E-1,1.038091278E0,6.514004059E0,7.350314941E0
1.725142083E-1,1.094523926E0,6.478078766E0,7.437733154E0
1.825272083E-1,1.112935638E0,6.513405304E0,7.357949066E0
1.925402083E-1,1.163380737E0,6.611301727E0,7.082072754E0
2.025542083E-1,1.103505249E0,6.647825775E0,6.613247681E0
2.125672083E-1,1.079255676E0,6.688990173E0,6.402336273E0
2.225802083E-1,1.129850464E0,6.682254181E0,6.535708923E0
2.325942083E-1,1.003662872E0,6.569987640E0,6.597680054E0
2.426072083E-1,8.541238403E-1,6.450236664E0,6.765181732E0
2.526202083E-1,7.505392456E-1,6.337970123E0,6.992858276E0
2.626342083E-1,7.140151978E-1,6.265969849E0,7.036268005E0
2.726472083E-1,7.241940308E-1,6.312073975E0,6.996001740E0
2.826602083E-1,9.446855164E-1,6.533762970E0,6.721023560E0
2.926742083E-1,1.163530426E0,6.719077606E0,6.277196503E0
3.026872083E-1,1.370998993E0,6.909481659E0,6.158193970E0
3.127002083E-1,1.633253632E0,7.026837616E0,6.392606506E0
3.227142083E-1,1.605710907E0,6.991361389E0,6.591542816E0
3.327272083E-1,1.495839386E0,6.920558624E0,6.697223053E0
3.427402083E-1,1.413211212E0,6.821913757E0,6.777007141E0
3.527542083E-1,1.367855530E0,6.769672394E0,6.740632782E0
3.627672083E-1,1.303190002E0,6.697971497E0,6.554120636E0
3.727802083E-1,1.306483154E0,6.694828033E0,6.125112762E0
3.827942083E-1,1.305285645E0,6.668033752E0,5.647156677E0
3.928072083E-1,1.266366577E0,6.480174408E0,5.484445038E0
4.028202083E-1,1.526226196E0,6.266867981E0,5.517975311E0
4.128342083E-1,2.102677460E0,6.316714325E0,5.463488617E0
4.228472083E-1,2.741099854E0,6.218069458E0,5.086273041E0
4.328602083E-1,3.196752319E0,6.149811401E0,4.832700348E0
4.428742083E-1,3.537892914E0,6.397995300E0,4.819827118E0
4.528872083E-1,3.593128052E0,6.141129456E0,5.088368683E0
4.629002083E-1,3.243305511E0,5.673950958E0,5.476810913E0
4.729142083E-1,3.172502747E0,5.355113983E0,5.791157227E0
4.829272083E-1,3.434158630E0,5.161865845E0,5.938001862E0
4.929402083E-1,4.272265778E0,5.286855927E0,6.030060425E0
5.029542083E-1,5.933062134E0,5.903573456E0,6.206244049E0
5.129672083E-1,7.059769135E0,6.634653168E0,5.999523926E0
5.229802083E-1,7.233857117E0,6.841822357E0,5.602250061E0
5.329942083E-1,6.819069672E0,6.017785950E0,6.131848755E0
5.430072083E-1,5.965993652E0,5.667963409E0,5.921985168E0
5.530202083E-1,5.635181580E0,5.707181854E0,5.387446747E0
5.630342083E-1,5.493875427E0,5.500012665E0,5.033133545E0
5.730472083E-1,5.375471649E0,5.462440796E0,4.846022644E0
5.830602083E-1,5.885012054E0,5.506000214E0,4.696184235E0
5.930742083E-1,6.602619781E0,5.639821930E0,4.776417389E0
6.030872083E-1,6.825655975E0,5.648653564E0,5.083428955E0
6.131002083E-1,6.860383759E0,5.509293365E0,5.384752350E0
6.231142083E-1,6.975793762E0,5.396577759E0,5.396727448E0
6.331272083E-1,6.964267731E0,5.321284332E0,5.168452148E0
6.431402083E-1,6.711593170E0,5.367388458E0,4.630770264E0
6.531542083E-1,6.136938171E0,4.981790314E0,4.080514526E0
6.631672083E-1,5.238955536E0,4.576283569E0,3.146905975E0
6.731802083E-1,5.072950745E0,4.517306213E0,2.294428711E0
6.831942083E-1,6.052513733E0,4.648882599E0,2.189945984E0
6.932072083E-1,7.141499176E0,5.007387085E0,2.562670898E0
7.032202083E-1,7.914940796E0,5.185816040E0,2.956352234E0
7.132342083E-1,8.161478119E0,5.121449890E0,3.442840576E0
7.232472083E-1,8.225095825E0,5.027445374E0,3.713477783E0
7.332602083E-1,8.013885040E0,5.063969421E0,3.401676178E0
7.432742083E-1,7.651788025E0,4.928650818E0,2.890189819E0
7.532872083E-1,7.880662079E0,4.840035095E0,2.065255280E0
7.633002083E-1,8.090675354E0,4.824018402E0,1.213825836E0
7.733142083E-1,8.223149872E0,4.573738861E0,9.295669556E-1
7.833272083E-1,8.586145020E0,4.654570770E0,1.011596375E0
7.933402083E-1,8.927285614E0,4.536017303E0,1.947450256E0
8.033542083E-1,8.968000946E0,4.198618927E0,3.068469086E0
8.133672083E-1,9.057215424E0,4.259841614E0,3.490890656E0
8.233802083E-1,8.757388916E0,4.245321808E0,3.381318512E0
8.333942083E-1,7.980205078E0,4.107159119E0,2.916535034E0
8.434072083E-1,7.087760925E0,3.783681793E0,2.332599335E0
8.534202083E-1,6.988666992E0,3.540737000E0,1.517095184E0
