"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.088500000E-3,-6.435938925E-2,-2.589996904E-2,-2.399472892E-2
1.310150000E-2,-1.798944622E-1,1.027713418E-1,-4.517320171E-2
2.311450000E-2,-1.911694854E-1,1.058920398E-1,-6.715174019E-2
3.312850000E-2,-1.269036978E-1,2.716949023E-2,-7.567655295E-2
4.314150000E-2,-4.334355146E-2,-3.609470278E-2,-7.928913087E-2
5.315450000E-2,6.470403168E-4,-6.933475286E-2,-8.529809117E-2
6.316750000E-2,9.266894311E-3,-9.559991211E-2,-8.664458990E-2
7.318150000E-2,-5.453828722E-3,-1.278148741E-1,-9.179151058E-2
8.319450000E-2,-3.927224502E-2,-1.450338066E-1,-1.041323245E-1
9.320750000E-2,-1.008551046E-1,-1.357966810E-1,-1.191931814E-1
1.032205000E-1,-1.844176352E-1,-8.239656687E-2,-1.295289099E-1
1.132345000E-1,-2.543111145E-1,-3.096609749E-2,-1.208037734E-1
1.232475000E-1,-2.694927454E-1,-1.787666045E-2,-9.648805112E-2
1.332605000E-1,-2.474313229E-1,-3.435344994E-2,-8.506619930E-2
1.432745000E-1,-1.946562529E-1,-9.662082046E-2,-9.005696326E-2
1.532875000E-1,-1.194219291E-1,-1.949481219E-1,-9.923920035E-2
1.633005000E-1,-4.603080079E-2,-2.948621809E-1,-1.049769819E-1
1.733135000E-1,-2.098375373E-2,-2.892641723E-1,-1.049612984E-1
1.833275000E-1,-7.298810035E-2,-1.973334253E-1,-1.086982414E-1
1.933408750E-1,-1.552559882E-1,-1.156828180E-1,-1.092081219E-1
2.033538750E-1,-2.183236331E-1,-7.252975553E-2,-1.070091501E-1
2.133668750E-1,-2.465920150E-1,-5.649530888E-2,-1.216248795E-1
2.233808750E-1,-2.366221994E-1,-7.935801893E-2,-1.289283186E-1
2.333938750E-1,-2.077155411E-1,-1.270453781E-1,-1.200957373E-1
2.434068750E-1,-1.653113663E-1,-1.798830330E-1,-1.033577695E-1
2.534198750E-1,-1.233843938E-1,-2.305150181E-1,-8.842805773E-2
2.634338750E-1,-8.202470839E-2,-2.821076214E-1,-7.122776657E-2
2.734468750E-1,-5.711080134E-2,-3.263596594E-1,-4.582253098E-2
2.834598750E-1,-6.978211552E-2,-3.519904613E-1,-1.424782444E-2
2.934728750E-1,-1.124538481E-1,-3.563034236E-1,5.234356504E-3
3.034868750E-1,-1.434157491E-1,-3.439612687E-1,1.190823875E-2
3.134998750E-1,-1.560629755E-1,-3.335548341E-1,4.930344224E-2
3.235128750E-1,-1.550440490E-1,-3.668102622E-1,8.104778826E-2
3.335268750E-1,-1.238888577E-1,-4.499723911E-1,1.258894205E-1
3.435398750E-1,-9.048216790E-2,-5.608491302E-1,1.858347803E-1
3.535528750E-1,-5.628623441E-2,-6.765047312E-1,2.685500383E-1
3.635658750E-1,-7.529108226E-2,-7.636478543E-1,3.557762802E-1
3.735798750E-1,-1.403918117E-1,-8.244713545E-1,4.443455935E-1
3.835928750E-1,-2.031715661E-1,-8.982915282E-1,5.128229260E-1
3.936058750E-1,-2.350572050E-1,-1.007135630E0,5.692608953E-1
4.036188750E-1,-2.314536870E-1,-1.135980725E0,6.471226811E-1
4.136328750E-1,-2.260259241E-1,-1.290997028E0,7.224678397E-1
4.236458750E-1,-2.461237460E-1,-1.420693517E0,7.454584241E-1
4.336588750E-1,-2.503735423E-1,-1.435727596E0,6.700957417E-1
4.436718750E-1,-1.861966997E-1,-1.463688135E0,6.016711593E-1
4.536858750E-1,-8.604631573E-2,-1.501894832E0,5.666454434E-1
4.636988750E-1,-1.683765207E-3,-1.546562076E0,5.646936297E-1
