"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.072875000E-3,1.251098328E0,7.228767700E0,6.428681488E0
1.308687500E-2,1.227447510E0,7.286547546E0,6.799759827E0
2.309987500E-2,1.283131714E0,7.267088013E0,6.973847809E0
3.311387500E-2,1.235381012E0,7.236551514E0,7.001689911E0
4.312787500E-2,1.223854980E0,7.218888245E0,6.828200684E0
5.314187500E-2,1.266815643E0,7.182064819E0,6.639293518E0
6.315487500E-2,1.291663971E0,7.240293732E0,6.734345856E0
7.316887500E-2,1.414259033E0,7.300468597E0,6.823260956E0
8.318287500E-2,1.317410431E0,7.334747314E0,6.799460449E0
9.319687500E-2,1.025517426E0,7.327711945E0,6.568041687E0
1.032098750E-1,9.569599915E-1,7.318131866E0,6.314019928E0
1.132238750E-1,9.415420532E-1,7.202422485E0,6.285579071E0
1.232378750E-1,1.042432251E0,7.307653656E0,6.303691406E0
1.332518750E-1,1.010548553E0,7.337292023E0,6.172264709E0
1.432648750E-1,1.024918671E0,7.233258362E0,6.362070007E0
1.532788750E-1,1.120120697E0,7.153623962E0,6.804549866E0
1.632928750E-1,1.098266144E0,7.044201508E0,6.964417419E0
1.733068750E-1,1.005908203E0,6.972350922E0,6.864874420E0
1.833198750E-1,9.627978516E-1,7.020850067E0,6.682254181E0
1.933338750E-1,1.047521667E0,7.032226410E0,6.540349274E0
2.033478750E-1,1.147813110E0,7.037615204E0,6.612648926E0
2.133618750E-1,1.224753113E0,7.023095398E0,6.738387451E0
2.233748750E-1,1.185534668E0,6.917564850E0,6.807843018E0
2.333888750E-1,1.117276611E0,6.852150879E0,6.614744568E0
2.434028750E-1,1.061442719E0,6.894063721E0,6.298452301E0
2.534168750E-1,1.114133148E0,6.829996948E0,6.432274017E0
2.634298750E-1,1.224902802E0,6.887327728E0,6.345604248E0
2.734438750E-1,1.196761322E0,7.147037659E0,6.141129456E0
2.834578750E-1,1.134341125E0,7.183561707E0,6.270909576E0
2.934718750E-1,1.089434509E0,7.055128784E0,6.287075958E0
3.034848750E-1,9.849517822E-1,7.044650574E0,6.236481171E0
3.134988750E-1,1.163081360E0,7.185357971E0,6.005511475E0
3.235128750E-1,1.520238647E0,7.520660706E0,5.684129791E0
3.335268750E-1,1.905387726E0,7.892637177E0,5.646408234E0
3.435398750E-1,2.060016174E0,7.969277802E0,5.825885010E0
3.535538750E-1,1.891316986E0,7.730075226E0,5.750591583E0
3.635678750E-1,1.632355499E0,7.385641479E0,5.619763641E0
3.735818750E-1,1.645378418E0,7.193740540E0,5.528603210E0
3.835948750E-1,2.059716797E0,7.417525177E0,5.576952667E0
3.936088750E-1,2.337389374E0,7.535180511E0,6.044131165E0
4.036228750E-1,2.261646881E0,7.335795135E0,6.353388062E0
4.136368750E-1,1.862277374E0,7.123237152E0,6.293961639E0
4.236508750E-1,1.746118927E0,7.193291473E0,6.269562378E0
4.336638750E-1,2.183808746E0,7.514822845E0,6.710096283E0
4.436778750E-1,2.409838715E0,7.611372070E0,6.969506836E0
4.536918750E-1,2.442021790E0,7.378755798E0,6.731052704E0
4.637058750E-1,2.224374390E0,7.067103882E0,6.271807709E0
4.737188750E-1,1.775607605E0,6.631210327E0,5.679788818E0
4.837328750E-1,1.297202454E0,6.210884399E0,4.688250732E0
4.937468750E-1,1.068478088E0,6.549779663E0,3.132984924E0
5.037608750E-1,2.207010498E0,6.900500336E0,1.698368225E0
5.137738750E-1,2.514321442E0,7.534282379E0,2.506687317E0
5.237878750E-1,3.378025360E0,8.433163147E0,4.305945740E0
5.338018750E-1,5.511239319E0,8.003556519E0,5.063520355E0
5.438158750E-1,6.055058441E0,7.546257477E0,5.618266754E0
5.538288750E-1,6.013444977E0,7.119494934E0,5.814209290E0
5.638428750E-1,6.160888367E0,6.957082672E0,5.735323334E0
5.738568750E-1,6.986421661E0,7.257807312E0,5.596412201E0
5.838708750E-1,8.370293884E0,7.995323639E0,5.419779510E0
5.938848750E-1,9.410780182E0,8.528065796E0,4.521796875E0
6.038978750E-1,9.435029755E0,8.698710938E0,3.236719208E0
6.139118750E-1,8.651259613E0,8.386759644E0,2.891986084E0
6.239258750E-1,7.442523193E0,7.624394989E0,2.846929779E0
6.339398750E-1,6.576124878E0,7.013365631E0,2.532134399E0
6.439528750E-1,6.374793549E0,6.779402161E0,2.598296814E0
6.539668750E-1,6.219865723E0,6.527625732E0,2.889890442E0
6.639808750E-1,5.667514343E0,5.810916138E0,2.855162659E0
