"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
6.020958333E-3,2.019700594E-2,-8.987538517E-2,-3.570992500E-2
1.603495833E-2,-4.994666204E-2,-2.843625471E-2,-3.703298420E-2
2.604895833E-2,-1.044006571E-1,-5.054918583E-4,-4.238357767E-2
3.606295833E-2,-1.327526718E-1,8.304244839E-3,-5.109823868E-2
4.607695833E-2,-1.439535469E-1,-1.040251646E-2,-5.235229433E-2
5.609195833E-2,-1.413447261E-1,-5.189349875E-2,-5.445459113E-2
6.610595833E-2,-1.210071668E-1,-1.051691324E-1,-4.622761533E-2
7.611995833E-2,-9.393054247E-2,-1.500732303E-1,-2.890162170E-2
8.613395833E-2,-7.944373786E-2,-1.742423922E-1,-1.838830486E-2
9.614795833E-2,-8.606515825E-2,-2.205313295E-1,-8.160436526E-3
1.061619583E-1,-1.006911770E-1,-2.662964463E-1,1.491022669E-2
1.161759583E-1,-1.222798303E-1,-2.913421392E-1,4.089149460E-2
1.261899583E-1,-1.560549438E-1,-2.782160044E-1,7.173379511E-2
1.362039583E-1,-2.045787871E-1,-2.476181686E-1,1.041782871E-1
1.462189583E-1,-2.600845098E-1,-2.372815907E-1,1.436802447E-1
1.562329583E-1,-3.359691501E-1,-2.482016236E-1,1.880136281E-1
1.662469583E-1,-4.286822379E-1,-2.629682720E-1,2.347546220E-1
1.762609583E-1,-5.061538219E-1,-2.078235298E-1,2.415699363E-1
1.862749583E-1,-5.525929332E-1,-2.024835944E-1,2.556963861E-1
1.962889583E-1,-5.653241873E-1,-2.462875396E-1,3.108001053E-1
2.063029583E-1,-5.472651124E-1,-3.160096705E-1,3.768098056E-1
2.163169583E-1,-4.941736758E-1,-3.932251036E-1,4.761310518E-1
2.263319583E-1,-4.129351377E-1,-4.661552012E-1,5.452784300E-1
2.363459583E-1,-3.610199988E-1,-5.354133248E-1,6.007611156E-1
2.463599583E-1,-3.768394887E-1,-5.949760675E-1,6.288325787E-1
2.563739583E-1,-4.114981294E-1,-6.456102133E-1,6.521440148E-1
2.663879583E-1,-4.700358808E-1,-7.358744740E-1,7.063983083E-1
