"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.134416667E-3,1.019829254E0,5.581143951E0,7.530839539E0
1.114741667E-2,1.150357819E0,5.749992828E0,7.373067627E0
2.116041667E-2,1.370549927E0,6.021528168E0,7.429200897E0
3.117441667E-2,1.635948029E0,6.099665680E0,7.573500824E0
4.118741667E-2,1.755848694E0,6.112688599E0,7.764204254E0
5.120041667E-2,1.651216278E0,6.084247742E0,7.862549744E0
6.121441667E-2,1.457369385E0,5.986650696E0,7.909102936E0
7.122741667E-2,1.236428833E0,5.878425751E0,7.871231689E0
8.124041667E-2,1.108894043E0,5.829028473E0,7.742050323E0
9.125441667E-2,1.185384979E0,5.872138824E0,7.796237640E0
1.012674167E-1,1.321901093E0,5.961952057E0,7.669301605E0
1.112804167E-1,1.321152649E0,6.051465912E0,7.413184204E0
1.212934167E-1,1.292562103E0,6.112838287E0,7.243886261E0
1.313074167E-1,1.364861755E0,6.209387512E0,7.149582367E0
1.413204167E-1,1.395997009E0,6.246809692E0,7.335196381E0
1.513334167E-1,1.342558136E0,6.179449768E0,7.578739929E0
1.613474167E-1,1.312770081E0,6.095175018E0,7.773035889E0
1.713604167E-1,1.303339691E0,6.045927429E0,7.933053131E0
1.813734167E-1,1.240171051E0,6.025569763E0,7.975714417E0
1.913874167E-1,1.138682098E0,6.018235016E0,7.959098969E0
2.014004167E-1,1.029409332E0,5.995332642E0,7.835156708E0
2.114134167E-1,9.413923645E-1,5.995482330E0,7.612270203E0
2.214274167E-1,9.737251282E-1,5.966891785E0,7.467820587E0
2.314404167E-1,1.106049957E0,6.003565521E0,7.415279846E0
2.414534167E-1,1.237776031E0,6.096073151E0,7.326215057E0
2.514674167E-1,1.411414948E0,6.257287903E0,7.486381989E0
2.614804167E-1,1.298998718E0,5.970035248E0,7.635322266E0
2.714934167E-1,1.370549927E0,6.461463318E0,7.776179352E0
2.815074167E-1,1.653461609E0,6.685098267E0,7.806865540E0
2.915204167E-1,1.301244049E0,6.145470428E0,7.589367828E0
