"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.069125000E-3,-7.558101416E-2,-8.129105717E-2,3.200744838E-2
1.108212500E-2,-7.989693433E-2,-1.096124426E-1,4.115859792E-2
2.109512500E-2,-6.997425854E-2,-1.463568807E-1,5.813145638E-2
3.110912500E-2,-8.988537639E-2,-1.473293602E-1,8.136832714E-2
4.112212500E-2,-1.289547533E-1,-1.044830829E-1,1.068214849E-1
5.113612500E-2,-1.704362333E-1,-7.022182643E-2,1.233844012E-1
6.114912500E-2,-1.981925070E-1,-3.947243094E-2,1.399532557E-1
7.116212500E-2,-2.116245180E-1,-7.455414627E-3,1.660284400E-1
8.117612500E-2,-2.398026139E-1,-1.443742402E-2,1.901127398E-1
9.118912500E-2,-2.848032117E-1,-3.957153484E-2,2.143373191E-1
1.012021250E-1,-3.434873223E-1,-9.387125820E-2,2.423239499E-1
1.112161250E-1,-3.662171364E-1,-1.395079195E-1,2.800579667E-1
1.212291250E-1,-3.294191957E-1,-2.284971774E-1,3.201201558E-1
1.312431250E-1,-2.641706765E-1,-3.834429681E-1,3.663840294E-1
1.412561250E-1,-1.920440197E-1,-5.101852417E-1,4.248017967E-1
1.512691250E-1,-9.996765852E-2,-5.280548930E-1,4.540970623E-1
1.612831250E-1,1.567398384E-2,-5.282841921E-1,4.411562383E-1
1.712961250E-1,1.187756807E-1,-5.270991325E-1,4.327937365E-1
1.813091250E-1,1.966830045E-1,-5.160883069E-1,4.568071961E-1
1.913231250E-1,2.496358156E-1,-5.470346212E-1,5.090537667E-1
2.013361250E-1,2.938288450E-1,-6.091861129E-1,5.809996128E-1
2.113501250E-1,3.547859788E-1,-6.852939129E-1,6.669645905E-1
2.213631250E-1,4.211756587E-1,-7.816939950E-1,7.304698229E-1
2.313761250E-1,4.496157467E-1,-9.323416948E-1,8.239879608E-1
2.413901250E-1,4.369793236E-1,-1.069090247E0,9.905177951E-1
2.514031250E-1,4.120723307E-1,-1.212421298E0,1.204709172E0
2.614161250E-1,4.471757114E-1,-1.362530828E0,1.500507474E0
2.714301250E-1,5.640229583E-1,-1.587792993E0,1.875301242E0
2.814431250E-1,7.002601624E-1,-2.087612152E0,2.278138638E0
2.914573750E-1,9.575082660E-1,-2.671041489E0,2.792418957E0
3.014703750E-1,1.288743496E0,-3.180686235E0,3.392610788E0
3.114833750E-1,1.550625443E0,-3.671875715E0,3.984075546E0
3.214973750E-1,1.861490369E0,-4.151256561E0,4.562532902E0
3.315103750E-1,2.284501791E0,-4.609252453E0,5.139708042E0
3.415233750E-1,2.735166788E0,-5.079957485E0,5.626858711E0
3.515373750E-1,3.181871176E0,-5.496829510E0,6.002554417E0
3.615503750E-1,3.579178095E0,-5.809600353E0,6.239708900E0
3.715643750E-1,3.852757454E0,-5.997444153E0,6.315392494E0
3.815773750E-1,3.988577604E0,-6.144422054E0,6.312559605E0
3.915903750E-1,4.023960114E0,-6.130834579E0,6.226035118E0
4.016043750E-1,3.896349907E0,-5.889955997E0,6.127492905E0
4.116173750E-1,3.605196953E0,-5.623313427E0,6.124828815E0
4.216303750E-1,3.219501972E0,-5.392877102E0,6.213995457E0
4.316443750E-1,2.880837440E0,-5.183816433E0,6.388202190E0
4.416573750E-1,2.697747469E0,-5.146094799E0,6.622757912E0
4.516713750E-1,2.766235352E0,-5.343261242E0,6.786493301E0
4.616843750E-1,2.955452442E0,-5.770980358E0,6.843476295E0
4.716973750E-1,3.121710777E0,-5.969383717E0,6.644614220E0
4.817113750E-1,3.118349075E0,-5.741538525E0,6.327054024E0
4.917243750E-1,2.915885925E0,-5.220901489E0,6.007409096E0
5.017373750E-1,2.646950960E0,-4.547274113E0,5.641283035E0
5.117513750E-1,2.309904099E0,-3.849950552E0,5.413783550E0
5.217643750E-1,1.885304570E0,-3.293365955E0,5.356025696E0
5.317783750E-1,1.503035188E0,-2.928871155E0,5.456118584E0
5.417913750E-1,1.286230683E0,-2.679773808E0,5.600111485E0
5.518043750E-1,1.224622726E0,-2.594455719E0,5.689901829E0
5.618183750E-1,1.305823803E0,-2.674910307E0,5.667992115E0
5.718313750E-1,1.547309160E0,-2.816380024E0,5.545266628E0
5.818443750E-1,1.872840166E0,-2.923091888E0,5.336938858E0
5.918583750E-1,2.194745064E0,-2.936341286E0,5.053156376E0
6.018713750E-1,2.459052801E0,-2.866369247E0,4.671023369E0
6.118853750E-1,2.605612278E0,-2.556388378E0,4.372403145E0
6.218983750E-1,2.373667240E0,-2.051734209E0,4.086563587E0
6.319113750E-1,1.822860003E0,-1.396799684E0,3.667613029E0
6.419253750E-1,8.017295003E-1,-7.574868202E-1,3.093674898E0
6.519383750E-1,-4.088837504E-1,-9.807062149E-2,2.465278625E0
6.619523750E-1,-1.585904002E0,5.051873326E-1,1.827426195E0
6.719653750E-1,-2.492811441E0,1.012025356E0,1.198348045E0
6.819783750E-1,-3.131678343E0,1.407542109E0,5.499219298E-1
6.919923750E-1,-3.642330647E0,1.606992364E0,-7.720643282E-2
7.020053750E-1,-4.060727596E0,1.889230371E0,-6.884429455E-1
7.120183750E-1,-4.502680779E0,2.399053335E0,-1.318481565E0
7.220323750E-1,-4.991132259E0,2.988136530E0,-1.934896111E0
7.320453750E-1,-5.413040161E0,3.512808800E0,-2.512258053E0
7.420593750E-1,-5.688273430E0,3.792393923E0,-3.065313101E0
7.520723750E-1,-5.809017181E0,3.811693907E0,-3.595798731E0
7.620853750E-1,-5.804985523E0,3.607661009E0,-4.076875687E0
7.720993750E-1,-5.734293461E0,3.334676266E0,-4.552919388E0
7.821123750E-1,-5.690413952E0,3.059530258E0,-5.003923416E0
7.921263750E-1,-5.650080681E0,2.818545103E0,-5.391750336E0
8.021393750E-1,-5.612361908E0,2.592687607E0,-5.695576191E0
8.121523750E-1,-5.562677383E0,2.413864613E0,-5.899238586E0
8.221663750E-1,-5.514934540E0,2.198926687E0,-5.986221790E0
8.321793750E-1,-5.455358505E0,1.955355763E0,-6.012166977E0
8.421933750E-1,-5.440170765E0,1.707984090E0,-6.020686150E0
8.522063750E-1,-5.502024174E0,1.476393461E0,-5.948751926E0
8.622193750E-1,-5.665897369E0,1.296346188E0,-5.839044571E0
8.722333750E-1,-5.979994774E0,1.296198010E0,-5.702365875E0
8.822463750E-1,-6.417051315E0,1.473516345E0,-5.470323563E0
8.922593750E-1,-6.870348454E0,1.755176902E0,-5.225313187E0
9.022733750E-1,-7.319496155E0,2.192541122E0,-5.011255741E0
9.122863750E-1,-7.742825031E0,2.862669945E0,-4.758295059E0
9.223003750E-1,-8.021373749E0,3.621353388E0,-4.505282402E0
9.323133750E-1,-8.093379974E0,4.234069347E0,-4.211823463E0
9.423263750E-1,-7.969089985E0,4.637185574E0,-3.845593929E0
9.523403750E-1,-7.696739197E0,4.752521515E0,-3.352593660E0
9.623533750E-1,-7.372062206E0,4.456187725E0,-2.676542759E0
9.723673750E-1,-7.070611954E0,3.612393618E0,-1.948900580E0
9.823803750E-1,-6.455394745E0,2.254165411E0,-1.121010542E0
9.923933750E-1,-5.317542553E0,5.544971228E-1,-2.902066708E-1
1.002407375E0,-4.049937248E0,-1.194328666E0,5.036579370E-1
1.012420375E0,-2.911337852E0,-2.947671175E0,1.298332095E0
1.022434375E0,-1.904814243E0,-4.455634594E0,2.108314991E0
1.032447375E0,-9.372975230E-1,-5.369767189E0,2.955936670E0
1.042460375E0,2.555509470E-2,-5.623788834E0,3.830950022E0
1.052474375E0,8.787827492E-1,-5.616300106E0,4.764697075E0
1.062487375E0,1.637428880E0,-5.384523392E0,5.668339252E0
1.072501375E0,2.318208933E0,-4.981148720E0,6.350799084E0
1.082514375E0,2.935402155E0,-4.742132664E0,6.649841785E0
1.092527375E0,3.334940434E0,-4.786963940E0,6.451863766E0
1.102541375E0,3.538617611E0,-4.948279858E0,6.026612282E0
1.112554375E0,3.611504793E0,-5.163057327E0,5.792080402E0
1.122567375E0,3.722582102E0,-5.567049980E0,5.905813217E0
1.132581375E0,3.945498228E0,-5.791711330E0,6.160232544E0
1.142594375E0,4.246114254E0,-5.702282906E0,6.329454422E0
1.152608375E0,4.514503956E0,-5.328743458E0,6.327681065E0
1.162621375E0,4.657194138E0,-4.654542923E0,6.209310532E0
1.172634375E0,4.579734325E0,-3.836950064E0,6.083785057E0
1.182648375E0,4.295560360E0,-3.028559446E0,6.025256634E0
1.192661375E0,3.911721468E0,-2.513949156E0,6.126592636E0
1.202675375E0,3.563016176E0,-2.372646570E0,6.245491505E0
1.212688375E0,3.262430429E0,-2.554635048E0,6.218197346E0
1.222701375E0,3.070222139E0,-2.922878742E0,6.132337570E0
1.232715375E0,3.107809544E0,-3.150728941E0,6.038320541E0
1.242728375E0,3.256752491E0,-3.220216513E0,5.919778824E0
1.252742375E0,3.397742271E0,-3.225240707E0,5.753902435E0
1.262755375E0,3.594972134E0,-2.999330997E0,5.525907516E0
1.272768375E0,3.800658703E0,-2.568753958E0,5.161005020E0
1.282782375E0,3.917523146E0,-1.981152177E0,4.750171185E0
1.292794625E0,3.946039915E0,-1.185538530E0,4.121840477E0
1.302808625E0,3.775956631E0,-4.447389841E-1,3.305538893E0
1.312821625E0,3.401519537E0,1.072831266E-2,2.473038673E0
1.322834625E0,2.818234205E0,2.149461657E-1,1.758471131E0
1.332848625E0,2.006995440E0,2.697363198E-1,1.478245497E0
1.342861625E0,5.478988886E-1,5.445883870E-1,1.396474957E0
1.352875625E0,-1.538514853E0,1.172982693E0,9.912390113E-1
1.362888625E0,-3.745517731E0,1.722091436E0,3.781795800E-1
1.372902625E0,-5.255470753E0,2.209593058E0,-2.781529725E-1
1.382915625E0,-6.120355606E0,2.556819201E0,-9.234638214E-1
1.392928625E0,-6.689427376E0,2.574437857E0,-1.672318220E0
1.402942625E0,-6.922278404E0,2.318389654E0,-2.444889784E0
1.412955625E0,-6.850591183E0,1.913340688E0,-3.042662144E0
1.422969625E0,-6.673671722E0,1.453573823E0,-3.443051815E0
1.432982625E0,-6.577898026E0,9.586226940E-1,-3.743681908E0
1.442995625E0,-6.517430782E0,7.052865624E-1,-3.994298458E0
1.453009625E0,-6.606817245E0,7.757105827E-1,-4.225701332E0
1.463022625E0,-6.778719425E0,1.045128942E0,-4.369281769E0
1.473036625E0,-6.925798893E0,1.435159564E0,-4.492959023E0
1.483049625E0,-7.024472237E0,1.838496089E0,-4.625669479E0
1.493062625E0,-7.067437172E0,2.152606010E0,-4.794784546E0
1.503076625E0,-7.008311272E0,2.354773283E0,-4.959816933E0
1.513089625E0,-6.852873802E0,2.461396694E0,-5.078457355E0
1.523103625E0,-6.662169456E0,2.345457077E0,-5.122374535E0
1.533116625E0,-6.502348423E0,2.123956442E0,-5.102447987E0
1.543129625E0,-6.455377102E0,1.968220592E0,-5.079478264E0
1.553143625E0,-6.485587120E0,1.960147738E0,-5.044849396E0
1.563156625E0,-6.561205864E0,2.094755650E0,-4.986296177E0
1.573170625E0,-6.619696140E0,2.344527960E0,-4.839456558E0
