painting_name,folder,group_label,rms_accel,rms_jerk,rms_gyro,dominant_freq_hz,freq_strength,duration_s,std_accel,max_accel,std_jerk,max_jerk,std_gyro,max_gyro,accel_peak_count,gyro_peak_count,accel_zero_crossings,gyro_accel_ratio,prompt,negative_prompt
Gesture as a brush 2026-03-14 09-25-22,./data/heart/Gesture as a brush 2026-03-14 09-25-22,heart,10.730820405178186,57.519039792294585,1.3279829278584592,0.8446829502070184,20.162127110068454,21.29872083,3.370353322581708,25.772201191560573,57.51903804544556,288.1778791407999,0.5732627004374004,3.0023591202101407,274.0,132.0,116.0,0.12375409126164141,"abstract hand-painted acrylic painting on canvas, visible brush strokes, rich paint texture, expressive abstract composition, painterly, no objects, no figures, no text, no lettering, bold saturated colors, heavy impasto thick paint, high contrast, energetic expressive strokes, fragmented brush marks, sharp broken edges, paint splatter texture, glitch-like fragmentation but painterly, mixed stroke directions, subtle curvature in brush movement, rhythmic repetition around 0.84 Hz, layered repeating brush patterns","photorealistic, realistic, portrait, faces, people, text, typography, watermark, logo, 3d render, cartoon, anime, low quality, blurry"
Gesture as a brush 2026-03-14 09-27-32,./data/heart/Gesture as a brush 2026-03-14 09-27-32,heart,12.847480785994378,106.29938388456674,2.0776471024058223,1.3357121338966207,10.148964191505037,19.455651166667,5.733161864005189,31.168530995371064,106.29938153356774,436.0602991103719,0.8986506256733744,5.368820283905729,245.0,213.0,106.0,0.16171630351913377,"abstract hand-painted acrylic painting on canvas, visible brush strokes, rich paint texture, expressive abstract composition, painterly, no objects, no figures, no text, no lettering, bold saturated colors, heavy impasto thick paint, high contrast, energetic expressive strokes, fragmented brush marks, sharp broken edges, paint splatter texture, glitch-like fragmentation but painterly, circular swirling composition, spiral brush motion, radial energy around a center, rhythmic repetition around 1.34 Hz, layered repeating brush patterns","photorealistic, realistic, portrait, faces, people, text, typography, watermark, logo, 3d render, cartoon, anime, low quality, blurry"
Gesture as a brush 2026-03-14 09-28-14,./data/heart/Gesture as a brush 2026-03-14 09-28-14,heart,15.34252307075097,140.4306651904278,2.6350207813127744,0.908828633999194,10.034818925638112,19.796251996667,8.15634969801567,43.8131837325842,140.4306651858892,733.47564478981,1.4411330167152467,7.427398670517117,197.0,205.0,78.0,0.17174624857918183,"abstract hand-painted acrylic painting on canvas, visible brush strokes, rich paint texture, expressive abstract composition, painterly, no objects, no figures, no text, no lettering, bold saturated colors, heavy impasto thick paint, high contrast, energetic expressive strokes, fragmented brush marks, sharp broken edges, paint splatter texture, glitch-like fragmentation but painterly, circular swirling composition, spiral brush motion, radial energy around a center, rhythmic repetition around 0.91 Hz, layered repeating brush patterns","photorealistic, realistic, portrait, faces, people, text, typography, watermark, logo, 3d render, cartoon, anime, low quality, blurry"
Gesture as a brush 2026-03-14 09-28-58,./data/heart/Gesture as a brush 2026-03-14 09-28-58,heart,12.312705449371084,180.04697533335502,2.3493788458122595,2.3669032759057353,4.196905290847329,17.433097335,4.890682885743417,31.6437330912066,180.04697487463147,1358.2584914619902,1.2197786170138998,11.191882899292237,166.0,90.0,118.0,0.19080931118525646,"abstract hand-painted acrylic painting on canvas, visible brush strokes, rich paint texture, expressive abstract composition, painterly, no objects, no figures, no text, no lettering, bold saturated colors, heavy impasto thick paint, high contrast, energetic expressive strokes, fragmented brush marks, sharp broken edges, paint splatter texture, glitch-like fragmentation but painterly, circular swirling composition, spiral brush motion, radial energy around a center, subtle rhythmic structure around 2.37 Hz, some repeated motifs","photorealistic, realistic, portrait, faces, people, text, typography, watermark, logo, 3d render, cartoon, anime, low quality, blurry"
Gesture as a brush 2026-03-14 09-29-33,./data/heart/Gesture as a brush 2026-03-14 09-29-33,heart,12.705299171130743,109.68601570047977,3.218577036386297,0.3489930184528064,10.60266718442393,19.225462251667,5.569732394190747,30.44843172095335,109.68601135052533,1154.8376972368867,1.4654757786875194,9.05413711706783,199.0,171.0,66.0,0.253325560679932,"abstract hand-painted acrylic painting on canvas, visible brush strokes, rich paint texture, expressive abstract composition, painterly, no objects, no figures, no text, no lettering, bold saturated colors, heavy impasto thick paint, high contrast, energetic expressive strokes, fragmented brush marks, sharp broken edges, paint splatter texture, glitch-like fragmentation but painterly, circular swirling composition, spiral brush motion, radial energy around a center, rhythmic repetition around 0.35 Hz, layered repeating brush patterns","photorealistic, realistic, portrait, faces, people, text, typography, watermark, logo, 3d render, cartoon, anime, low quality, blurry"
Gesture as a brush 2026-03-14 09-30-02,./data/heart/Gesture as a brush 2026-03-14 09-30-02,heart,12.732693332242334,122.32217883668208,3.3507221252801536,0.3544008828267498,8.709265287700141,16.271519213333,5.915414571981163,33.97832400285077,122.32215568561092,1341.420788495822,1.5122654123118302,8.30739525549125,160.0,141.0,42.0,0.26315894348386887,"abstract hand-painted acrylic painting on canvas, visible brush strokes, rich paint texture, expressive abstract composition, painterly, no objects, no figures, no text, no lettering, bold saturated colors, heavy impasto thick paint, high contrast, energetic expressive strokes, fragmented brush marks, sharp broken edges, paint splatter texture, glitch-like fragmentation but painterly, circular swirling composition, spiral brush motion, radial energy around a center, rhythmic repetition around 0.35 Hz, layered repeating brush patterns","photorealistic, realistic, portrait, faces, people, text, typography, watermark, logo, 3d render, cartoon, anime, low quality, blurry"
Gesture as a brush 2026-03-14 09-30-38,./data/heart/Gesture as a brush 2026-03-14 09-30-38,heart,13.394695503919744,198.56248480386688,3.394651311406575,2.3662618387035925,4.037998378994419,18.7949411249999,5.350379370438591,35.15095067987696,198.56247950787906,1452.1627507881303,1.5333933343661106,8.097622244424548,161.0,146.0,84.0,0.2534325106651175,"abstract hand-painted acrylic painting on canvas, visible brush strokes, rich paint texture, expressive abstract composition, painterly, no objects, no figures, no text, no lettering, bold saturated colors, heavy impasto thick paint, high contrast, energetic expressive strokes, fragmented brush marks, sharp broken edges, paint splatter texture, glitch-like fragmentation but painterly, circular swirling composition, spiral brush motion, radial energy around a center, subtle rhythmic structure around 2.37 Hz, some repeated motifs","photorealistic, realistic, portrait, faces, people, text, typography, watermark, logo, 3d render, cartoon, anime, low quality, blurry"
Gesture as a brush 2026-03-14 09-31-14,./data/heart/Gesture as a brush 2026-03-14 09-31-14,heart,11.896257387213803,81.43041088701499,2.103330772720951,1.0032161605281578,15.566705818884829,19.9263559566661,4.964507676264599,30.16684559298324,81.43041016144227,487.3375083373244,0.9961539698428585,6.521551709885606,205.0,208.0,78.0,0.1768060915363871,"abstract hand-painted acrylic painting on canvas, visible brush strokes, rich paint texture, expressive abstract composition, painterly, no objects, no figures, no text, no lettering, bold saturated colors, heavy impasto thick paint, high contrast, energetic expressive strokes, fragmented brush marks, sharp broken edges, paint splatter texture, glitch-like fragmentation but painterly, circular swirling composition, spiral brush motion, radial energy around a center, rhythmic repetition around 1.00 Hz, layered repeating brush patterns","photorealistic, realistic, portrait, faces, people, text, typography, watermark, logo, 3d render, cartoon, anime, low quality, blurry"
Gesture as a brush 2026-03-14 09-31-46,./data/heart/Gesture as a brush 2026-03-14 09-31-46,heart,12.001635119929313,74.02318123705723,2.3079558400679954,0.8705390014771941,16.197696516645237,20.667328998333,4.894617190286734,31.147888841834142,74.0231811370281,460.78205573271356,1.0588142053440046,6.60714442722865,224.0,212.0,84.0,0.19230345005600247,"abstract hand-painted acrylic painting on canvas, visible brush strokes, rich paint texture, expressive abstract composition, painterly, no objects, no figures, no text, no lettering, bold saturated colors, heavy impasto thick paint, high contrast, energetic expressive strokes, fragmented brush marks, sharp broken edges, paint splatter texture, glitch-like fragmentation but painterly, circular swirling composition, spiral brush motion, radial energy around a center, rhythmic repetition around 0.87 Hz, layered repeating brush patterns","photorealistic, realistic, portrait, faces, people, text, typography, watermark, logo, 3d render, cartoon, anime, low quality, blurry"
Gesture as a brush 2026-03-14 09-32-27,./data/heart/Gesture as a brush 2026-03-14 09-32-27,heart,19.085218103865106,184.16954979945237,3.453463468633303,1.7120600362384817,10.008296428669281,21.017975961666,9.988876757811301,57.28653511967982,184.16954446173773,1260.8160786239366,1.7310147879502793,10.196093601924765,233.0,211.0,82.0,0.18094964645716904,"abstract hand-painted acrylic painting on canvas, visible brush strokes, rich paint texture, expressive abstract composition, painterly, no objects, no figures, no text, no lettering, bold saturated colors, heavy impasto thick paint, high contrast, energetic expressive strokes, fragmented brush marks, sharp broken edges, paint splatter texture, glitch-like fragmentation but painterly, circular swirling composition, spiral brush motion, radial energy around a center, rhythmic repetition around 1.71 Hz, layered repeating brush patterns","photorealistic, realistic, portrait, faces, people, text, typography, watermark, logo, 3d render, cartoon, anime, low quality, blurry"
